# Real team-pointer table, transcribed from carky12's "Punteros Equipos.pdf"
# (jandro996/EditorPCFutbol6 repo, Manuales/Punteros Equipos.pdf).
# Community reference data (4-digit decimal pointer -> team name/country),
# not proprietary Dinamic game content -- see PLAN.md Appendix C / §9 and
# fixtures/README.md. Confirms pointers/team_filename's EQ97+pointer
# convention: e.g. Boca = 9013 -> EQ979013.DBC (already implemented in
# crates/pcf-model/src/pointers.rs).
pointer,name,country
2905,Danubio,Uruguay
2906,Defensor,Uruguay
2907,Huracán B.,Uruguay
2908,Liverpool,Uruguay
2909,Rampla Jrs.,Uruguay
2910,Rentistas,Uruguay
2911,Villa Española,Uruguay
2912,Cerro,Uruguay
2913,Racing,Uruguay
2951,Caracas,Venezuela
2952,Atlético Zulia,Venezuela
2953,Minervén,Venezuela
3000,U. de Chile,Chile
3001,U. Catolica,Chile
3002,Colo Colo,Chile
3003,Cobreloa,Chile
3004,Audax Italiano,Chile
3005,Coquimbo Unido,Chile
3006,Provincial Osorno,Chile
3007,Deportes La Serena,Chile
3008,Deportes Temuco,Chile
3009,Huachipato,Chile
3010,Palestino,Chile
3011,Deportes Concepción,Chile
3012,Deportes Puerto Montt,Chile
3013,Santiago Wanderers,Chile
3014,Unión Española,Chile
3015,Antofagasta,Chile
3100,A. de Cali,Colombia
3101,N. de Medellín,Colombia
3102,Millonarios,Colombia
3103,Once Caldas,Colombia
3104,Indep. Medellín,Colombia
3105,Indep. Santa Fe,Colombia
3106,Deportivo Cali,Colombia
3107,Atlético Junior,Colombia
3108,Deportes Tolima,Colombia
3109,Envigado,Colombia
3110,Atlético Bucaramanga,Colombia
3111,Unión Magdalena,Colombia
